,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2258,The Mavericks,Amsterdam Moon,0.411,0.698,0,-5.637,1,0.028,0.143,5.31e-06,0.102,0.567,104.671,audio_features,0wUEy7ILDPbfWqbfpOthCl,spotify:track:0wUEy7ILDPbfWqbfpOthCl,https://api.spotify.com/v1/tracks/0wUEy7ILDPbfWqbfpOthCl,https://api.spotify.com/v1/audio-analysis/0wUEy7ILDPbfWqbfpOthCl,158213,4
2259,Mona,Truth,0.529,0.661,2,-7.284,1,0.0308,0.000769,0,0.111,0.354,108.465,audio_features,1MkB4FLBSCVQFSY8yuV7hm,spotify:track:1MkB4FLBSCVQFSY8yuV7hm,https://api.spotify.com/v1/tracks/1MkB4FLBSCVQFSY8yuV7hm,https://api.spotify.com/v1/audio-analysis/1MkB4FLBSCVQFSY8yuV7hm,234827,3
2260,Mona,"Goons (Baby, I Need It All)",0.376,0.885,7,-3.897,1,0.0761,0.00125,1.66e-06,0.231,0.328,72.453,audio_features,5EtvhyF9mrMHRc8QxU0B7F,spotify:track:5EtvhyF9mrMHRc8QxU0B7F,https://api.spotify.com/v1/tracks/5EtvhyF9mrMHRc8QxU0B7F,https://api.spotify.com/v1/audio-analysis/5EtvhyF9mrMHRc8QxU0B7F,193680,4
2261,Patty Griffin,Wherever You Wanna Go,0.468,0.407,8,-9.025,1,0.0335,0.852,2.14e-05,0.0814,0.416,87.782,audio_features,6DVmlreQXk6VgYMJyP4Sl6,spotify:track:6DVmlreQXk6VgYMJyP4Sl6,https://api.spotify.com/v1/tracks/6DVmlreQXk6VgYMJyP4Sl6,https://api.spotify.com/v1/audio-analysis/6DVmlreQXk6VgYMJyP4Sl6,227000,4
2262,Phoenix,Entertainment,0.392,0.723,8,-3.973,1,0.0475,0.00151,0.0254,0.332,0.498,75.305,audio_features,0ZrVZGtyn99idAKFeoWUJ5,spotify:track:0ZrVZGtyn99idAKFeoWUJ5,https://api.spotify.com/v1/tracks/0ZrVZGtyn99idAKFeoWUJ5,https://api.spotify.com/v1/audio-analysis/0ZrVZGtyn99idAKFeoWUJ5,220240,4
2263,Reckless Kelly,Real Cool Hand,0.497,0.781,9,-6.808,1,0.0461,9.88e-05,0.71,0.0832,0.41,124.092,audio_features,00yWSC7gd8y7myxfYCLAbB,spotify:track:00yWSC7gd8y7myxfYCLAbB,https://api.spotify.com/v1/tracks/00yWSC7gd8y7myxfYCLAbB,https://api.spotify.com/v1/audio-analysis/00yWSC7gd8y7myxfYCLAbB,236867,4
2264,Shannon LaBrie,I Remember a Boy,0.54,0.277,2,-10.41,1,0.0285,0.707,1.17e-06,0.153,0.274,113.694,audio_features,0odbuiL8YDjX2IpbiIfpNI,spotify:track:0odbuiL8YDjX2IpbiIfpNI,https://api.spotify.com/v1/tracks/0odbuiL8YDjX2IpbiIfpNI,https://api.spotify.com/v1/audio-analysis/0odbuiL8YDjX2IpbiIfpNI,207560,3
2265,The Shouting Matches,Heaven Knows,0.613,0.754,7,-8.462,1,0.197,0.0265,0.0152,0.111,0.63,142.961,audio_features,4lEnkalPpZEYgTzV5t9oJL,spotify:track:4lEnkalPpZEYgTzV5t9oJL,https://api.spotify.com/v1/tracks/4lEnkalPpZEYgTzV5t9oJL,https://api.spotify.com/v1/audio-analysis/4lEnkalPpZEYgTzV5t9oJL,215480,4
2266,Son Volt,Brick Walls,0.555,0.479,2,-8.509,1,0.0309,0.545,0.00219,0.117,0.836,115.955,audio_features,1nVSXp8b6QAvj0Y5Jk36Is,spotify:track:1nVSXp8b6QAvj0Y5Jk36Is,https://api.spotify.com/v1/tracks/1nVSXp8b6QAvj0Y5Jk36Is,https://api.spotify.com/v1/audio-analysis/1nVSXp8b6QAvj0Y5Jk36Is,132133,4
2267,Those Darlins,That Man,0.223,0.513,7,-5.864,1,0.0377,0.205,0.00154,0.184,0.269,208.889,audio_features,3FKWBRNQx6YGCRzUOwnsHu,spotify:track:3FKWBRNQx6YGCRzUOwnsHu,https://api.spotify.com/v1/tracks/3FKWBRNQx6YGCRzUOwnsHu,https://api.spotify.com/v1/audio-analysis/3FKWBRNQx6YGCRzUOwnsHu,255227,3
2268,Valerie June,The Hour,0.389,0.488,0,-8.47,1,0.0297,0.531,0.273,0.395,0.288,174.774,audio_features,3BSjo3wVBFITgBYrIBj2Lx,spotify:track:3BSjo3wVBFITgBYrIBj2Lx,https://api.spotify.com/v1/tracks/3BSjo3wVBFITgBYrIBj2Lx,https://api.spotify.com/v1/audio-analysis/3BSjo3wVBFITgBYrIBj2Lx,229764,3
2269,The Weeks,Brother In The Night,0.564,0.685,2,-6.022,1,0.0529,0.0123,1.5e-05,0.151,0.642,118.761,audio_features,5wYtnKxplUlSnrq6flaCFz,spotify:track:5wYtnKxplUlSnrq6flaCFz,https://api.spotify.com/v1/tracks/5wYtnKxplUlSnrq6flaCFz,https://api.spotify.com/v1/audio-analysis/5wYtnKxplUlSnrq6flaCFz,232360,4
2270,The Weeks,Ain't My Stop,0.621,0.392,9,-8.395,1,0.0693,0.681,0,0.0828,0.551,141.841,audio_features,3TTDmLg6JIdaEo2FFlDnFp,spotify:track:3TTDmLg6JIdaEo2FFlDnFp,https://api.spotify.com/v1/tracks/3TTDmLg6JIdaEo2FFlDnFp,https://api.spotify.com/v1/audio-analysis/3TTDmLg6JIdaEo2FFlDnFp,200520,4
2271,The Weeks,Wo Is I,0.285,0.832,5,-6.487,1,0.0366,0.151,6.51e-05,0.12,0.497,86.92,audio_features,4YunpE8Dg95B4jt3STtY67,spotify:track:4YunpE8Dg95B4jt3STtY67,https://api.spotify.com/v1/tracks/4YunpE8Dg95B4jt3STtY67,https://api.spotify.com/v1/audio-analysis/4YunpE8Dg95B4jt3STtY67,295773,4
